"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Ni bukan isu vaksin dah. Sebab ada di luar sana harap sangat kehidupan macam dulu.  Jenis degil tak nak ikut perkem… https://t.co/ujXnnJEhHy",FALSE,0,NA,2021-10-06 20:16:12,TRUE,NA,"1445845367061241860",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AleksandrDjavi",0,FALSE,FALSE,NA,NA
"RT @didindingdiam: yg mau vaksin ke 2 jenis sinovac dan pfizer bisa langsung dateng ke RSKH jatiasih yaaa temen2 @txtdrbekasi @bekasi_24_ja…",FALSE,0,NA,2021-10-06 18:31:10,FALSE,NA,"1445818934532263938",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","atermoiementtss",1,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 18:04:25,FALSE,NA,"1445812203928444938",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bananauyuyuyuyu",201,TRUE,FALSE,NA,NA
"Orang cakap pasal pentingnya kena vaksin dia duk cakap pasal sikap manusia yg macam2 jenis. Lahhh relation???",FALSE,1,NA,2021-10-06 17:50:07,FALSE,NA,"1445808605349892100",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mieyra_abdullah",0,FALSE,FALSE,NA,NA
"RT @jijanism: Apa yg aku dapat malam ni, org2 anti vaksin ni semua jenis takut long term side effect vaksin (which is not a fact), and dior…",FALSE,0,NA,2021-10-06 17:45:08,FALSE,NA,"1445807350921658376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","syfsyzwn",4,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 17:37:54,FALSE,NA,"1445805527028539397",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aedykim",201,TRUE,FALSE,NA,NA
"bukan kita nak discriminate dengan orang vaksin dengan tak vaksin. tapi jenis yg tak vaksin ni duk palatao mekak da… https://t.co/IlFCkSxXUX",FALSE,3,NA,2021-10-06 17:34:48,TRUE,NA,"1445804747596861450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zuliqbxlazlin",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 17:28:07,FALSE,NA,"1445803065605386244",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kenobisded",201,TRUE,FALSE,NA,NA
"Apa yg aku dapat malam ni, org2 anti vaksin ni semua jenis takut long term side effect vaksin (which is not a fact)… https://t.co/eL3dPfrRdS",FALSE,1,NA,2021-10-06 17:23:37,TRUE,NA,"1445801933730574338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jijanism",4,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 17:21:35,FALSE,NA,"1445801421476012033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","slprbrk",201,TRUE,FALSE,NA,NA
